tn,fp,fn,tp,y_pred_0,y_pred_1,y_true_0,y_true_1,auc,sensitivity,specificity,accuracy,mcc,precision,recall,f1,aupr
362,14,26,350,388,364,376,376,0.9907834427342689,0.9308510638297872,0.9627659574468085,0.9468085106382979,0.8940724707039903,0.9615384615384616,0.9308510638297872,0.9459459459459459,0.9912004088936728
1804,76,26,350,1830,426,1880,376,0.9900902557718424,0.9308510638297872,0.9595744680851064,0.9547872340425532,0.8478911593761511,0.8215962441314554,0.9308510638297872,0.8728179551122194,0.960889702069335
2092,88,34,402,2126,490,2180,436,0.9873905816008753,0.9220183486238532,0.9596330275229358,0.9533639143730887,0.8421485613122948,0.8204081632653061,0.9220183486238532,0.8682505399568035,0.954830058446638
422,14,34,402,456,416,436,436,0.9896946805824425,0.9220183486238532,0.9678899082568807,0.944954128440367,0.8908460095244072,0.9663461538461539,0.9220183486238532,0.943661971830986,0.9907855189856255
14429,577,6700,8306,21129,8883,15006,15006,0.9280847970021641,0.5535119285619086,0.9615487138477942,0.7575303212048514,0.5641622266242512,0.9350444669593606,0.5535119285619086,0.6953828121729667,0.9271626376627049
72155,2875,6700,8306,78855,11181,75030,15006,0.928340746423897,0.5535119285619086,0.961681993869119,0.8936536496512506,0.582191330043241,0.742867364278687,0.5535119285619086,0.6343605605834957,0.7640812748589234
133342,5328,10607,17127,143949,22455,138670,27734,0.9512920019699659,0.6175452513160742,0.9615778466863777,0.9042390807913271,0.6316951528304007,0.7627254509018037,0.6175452513160742,0.6825001494351352,0.8248538780570053
26708,1026,10607,17127,37315,18153,27734,27734,0.9527357707511659,0.6175452513160742,0.963005696978438,0.7902754741472561,0.6186384701660063,0.9434804164600893,0.6175452513160742,0.7464859328350077,0.9504980819858749
11351,461,442,11370,11793,11831,11812,11812,0.9933762912104517,0.9625804266847274,0.9609718929901795,0.9617761598374535,0.9235535144679244,0.9610345701969403,0.9625804266847274,0.9618068772998352,0.9937874976847927
56874,2186,442,11370,57316,13556,59060,11812,0.9935853379488955,0.9625804266847274,0.962986793091771,0.9629190653572638,0.8770264442041472,0.8387429920330481,0.9625804266847274,0.8964049195837276,0.9764536163186248
56455,2245,440,11300,56895,13545,58700,11740,0.9933308444752721,0.9625212947189097,0.9617546848381602,0.9618824531516184,0.8740337645907944,0.8342561830933924,0.9625212947189097,0.8938105596203283,0.9754434953418151
11303,437,440,11300,11743,11737,11740,11740,0.9932366956981041,0.9625212947189097,0.9627768313458263,0.962649063032368,0.9252981562752436,0.9627673170316094,0.9625212947189097,0.9626442901563231,0.9936042033432114
